County,Totals by County,Battery Electric,Electric & Diesel Hybrid,Electric & Gas Hybrid,Fuel Cell Electric,Plugin Hybrid Electric
Alcona,131,14,0,109,0,8
Alger,116,6,0,104,0,6
Allegan,2787,514,0,2105,0,168
Alpena,341,43,0,285,0,13
Antrim,556,77,0,445,0,34
Arenac,179,21,0,149,0,9
Baraga,65,4,0,60,0,1
Barry,1171,189,0,913,0,69
Bay,1790,288,0,1407,0,95
Benzie,484,86,0,374,0,24
Berrien,4354,839,0,3215,0,300
Branch,681,82,0,558,0,41
Calhoun,2656,320,0,2201,1,134
Cass,969,137,2,762,0,68
Charlevoix,579,128,0,422,0,29
Cheboygan,511,53,0,429,0,29
Chippewa,420,28,0,377,0,15
Clare,329,34,0,282,0,13
Clinton,1772,356,0,1279,0,137
Crawford,163,23,0,134,0,6
Delta,465,31,0,413,0,21
Dickinson,486,27,0,443,0,16
Eaton,2358,420,0,1771,0,167
Emmet,901,206,0,630,0,65
Genesee,5702,1604,0,3620,0,478
Gladwin,276,29,0,226,0,21
Gogebic,188,13,0,164,0,11
Grand Traverse,3175,581,0,2422,0,172
Gratiot,390,53,0,312,0,25
Hillsdale,559,66,0,444,0,49
Houghton,435,57,0,346,0,32
Huron,337,39,0,278,0,20
Ingham,8263,1649,0,6018,0,596
Ionia,793,104,0,645,0,44
Iosco,312,30,0,262,0,20
Iron,139,9,0,123,0,7
Isabella,1002,150,0,796,0,56
Jackson,2881,466,0,2172,0,243
Kalamazoo,8701,1554,0,6641,0,506
Kalkaska,223,21,0,188,0,14
Kent,19627,4342,2,14181,0,1102
Keweenaw,38,5,0,31,0,2
Lake,129,17,0,103,0,9
Lapeer,1278,240,0,925,0,113
Leelanau,1027,223,0,737,0,67
Lenawee,1699,261,0,1332,0,106
Livingston,6342,1450,0,4491,0,401
Luce,50,0,0,45,0,5
Mackinac,196,20,1,168,0,7
Macomb,23546,8928,4,13580,1,1033
Manistee,420,55,0,344,0,21
Marquette,1108,96,0,968,0,44
Mason,525,76,1,432,0,16
Mecosta,589,81,0,477,0,31
Menominee,301,32,0,262,0,7
Midland,2409,397,0,1871,1,140
Missaukee,125,12,0,109,0,4
Monroe,3587,602,0,2759,0,226
Montcalm,736,93,1,589,0,53
Montmorency,101,8,0,84,0,9
Muskegon,2875,427,0,2317,0,131
Newaygo,608,69,0,515,0,24
Oakland,61229,22862,1,34246,1,4119
Oceana,394,53,0,315,0,26
Ogemaw,208,21,0,176,0,11
Ontonagon,74,4,0,65,0,5
Osceola,250,30,0,205,0,15
Oscoda,66,4,0,55,0,7
Otsego,370,46,0,312,0,12
Ottawa,8576,1749,0,6368,0,459
Presque Isle,212,22,0,179,1,10
Roscommon,345,40,0,292,0,13
Saginaw,2633,495,0,1995,0,143
St. Clair,2452,407,0,1892,1,152
St. Joseph,800,96,0,657,0,47
Sanilac,371,59,0,280,0,32
Schoolcraft,95,7,1,82,0,5
Shiawassee,870,192,0,596,0,82
Tuscola,485,74,0,378,0,33
Van Buren,1714,275,1,1348,0,90
Washtenaw,21691,5526,0,14378,1,1786
Wayne,41811,10358,0,29374,1,2078
Wexford,527,68,0,431,0,28
Foreign,5659,1388,0,4114,0,157
