date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-16.7,59.13,0.0,97.69,0.0,0.0,0.0
2018-01-01 02:00:00,-16.7,62.47,0.0,54.62,0.0,0.0,0.0
2018-01-01 03:00:00,-16.7,73.16,0.0,229.23,0.0,0.0,0.0
2018-01-01 04:00:00,-15.6,66.04,1.5,260.0,0.0,0.0,0.0
2018-01-01 05:00:00,-15.3,69.75,1.8,270.0,0.0,0.0,0.0
2018-01-01 06:00:00,-16.7,81.27,1.5,220.0,0.0,0.0,0.0
2018-01-01 07:00:00,-14.4,80.81,2.6,260.0,0.0,0.0,0.0
2018-01-01 08:00:00,-14.7,81.15,2.6,260.0,0.0,0.0,0.0
2018-01-01 09:00:00,-13.3,69.73,4.1,290.0,14.0,47.5,11.5
2018-01-01 10:00:00,-13.3,65.91,7.2,280.0,100.0,218.0,61.0
2018-01-01 11:00:00,-12.75,61.4,7.45,285.0,209.0,383.5,95.5
2018-01-01 12:00:00,-12.2,56.9,7.2,300.0,295.0,486.5,114.0
2018-01-01 13:00:00,-11.1,54.03,7.7,290.0,402.5,781.0,77.5
2018-01-01 14:00:00,-11.1,52.79,7.45,290.0,405.0,812.0,72.0
2018-01-01 15:00:00,-11.1,51.54,5.1,300.0,365.5,839.0,65.0
2018-01-01 16:00:00,-10.6,49.29,5.7,280.0,222.5,599.0,62.0
2018-01-01 17:00:00,-11.15,51.84,5.7,280.0,89.0,320.0,43.0
2018-01-01 18:00:00,-12.2,56.9,4.6,300.0,6.5,38.0,5.5
2018-01-01 19:00:00,-11.85,57.02,3.85,295.0,0.0,0.0,0.0
2018-01-01 20:00:00,-11.7,58.68,3.6,280.0,0.0,0.0,0.0
2018-01-01 21:00:00,-11.7,60.33,5.1,300.0,0.0,0.0,0.0
2018-01-01 22:00:00,-11.7,60.33,3.6,280.0,0.0,0.0,0.0
2018-01-01 23:00:00,-11.7,61.78,4.65,285.0,0.0,0.0,0.0
2018-01-02 00:00:00,-11.1,63.36,4.1,300.0,0.0,0.0,0.0
2018-01-02 01:00:00,-11.1,66.37,2.6,280.0,0.0,0.0,0.0
2018-01-02 02:00:00,-12.2,69.72,3.85,240.0,0.0,0.0,0.0
2018-01-02 03:00:00,-12.8,73.85,6.2,230.0,0.0,0.0,0.0
2018-01-02 04:00:00,-12.8,73.85,6.2,230.0,0.0,0.0,0.0
2018-01-02 05:00:00,-13.05,73.46,6.45,225.0,0.0,0.0,0.0
2018-01-02 06:00:00,-13.9,73.66,5.7,230.0,0.0,0.0,0.0
2018-01-02 07:00:00,-14.4,76.61,7.7,230.0,0.0,0.0,0.0
2018-01-02 08:00:00,-14.66,77.02,7.3,228.0,0.0,0.0,0.0
2018-01-02 09:00:00,-13.9,73.66,8.2,220.0,15.0,62.5,12.5
2018-01-02 10:00:00,-13.3,77.28,7.7,230.0,88.0,134.5,64.0
2018-01-02 11:00:00,-12.77,73.61,7.9,226.67,208.5,388.0,90.0
2018-01-02 12:00:00,-13.9,69.61,7.7,230.0,290.0,473.0,112.5
2018-01-02 13:00:00,-12.8,66.64,7.7,230.0,386.0,739.5,77.0
2018-01-02 14:00:00,-12.8,66.64,7.95,220.0,394.0,795.5,67.0
2018-01-02 15:00:00,-12.2,63.11,8.2,210.0,352.0,814.5,58.5
2018-01-02 16:00:00,-13.9,59.81,7.7,200.0,247.0,745.5,48.0
2018-01-02 17:00:00,-14.15,56.49,7.7,205.0,116.0,563.5,35.0
2018-01-02 18:00:00,-15.0,56.19,8.2,210.0,8.5,69.5,6.5
2018-01-02 19:00:00,-15.6,59.4,7.2,210.0,0.0,0.0,0.0
2018-01-02 20:00:00,-15.85,57.65,7.2,210.0,0.0,0.0,0.0
2018-01-02 21:00:00,-16.1,55.91,7.7,220.0,0.0,0.0,0.0
2018-01-02 22:00:00,-16.7,55.76,8.8,220.0,0.0,0.0,0.0
2018-01-02 23:00:00,-16.95,57.09,8.25,220.0,0.0,0.0,0.0
2018-01-03 00:00:00,-17.2,58.43,6.7,210.0,0.0,0.0,0.0
2018-01-03 01:00:00,-16.1,58.7,8.2,220.0,0.0,0.0,0.0
2018-01-03 02:00:00,-15.55,58.84,7.45,220.0,0.0,0.0,0.0
2018-01-03 03:00:00,-15.6,62.34,6.2,220.0,0.0,0.0,0.0
2018-01-03 04:00:00,-16.1,65.3,6.2,210.0,0.0,0.0,0.0
2018-01-03 05:00:00,-16.4,67.18,5.95,205.0,0.0,0.0,0.0
2018-01-03 06:00:00,-16.1,65.3,5.7,210.0,0.0,0.0,0.0
2018-01-03 07:00:00,-15.6,62.34,5.7,210.0,0.0,0.0,0.0
2018-01-03 08:00:00,-14.75,62.53,5.4,210.0,0.0,0.0,0.0
2018-01-03 09:00:00,-12.8,60.07,7.7,220.0,21.5,141.5,13.5
2018-01-03 10:00:00,-12.6,69.95,6.53,210.0,123.5,427.0,52.5
2018-01-03 11:00:00,-12.03,68.41,6.2,210.0,183.5,248.0,111.5
2018-01-03 12:00:00,-11.27,70.16,7.03,216.67,264.0,326.0,141.5
2018-01-03 13:00:00,-10.0,67.22,7.2,220.0,272.0,250.0,167.5
2018-01-03 14:00:00,-9.7,66.97,7.2,220.0,239.0,168.0,169.5
2018-01-03 15:00:00,-9.4,73.76,6.7,230.0,275.5,443.0,114.5
2018-01-03 16:00:00,-9.4,73.76,5.95,230.0,161.5,223.5,101.0
2018-01-03 17:00:00,-9.4,75.82,5.95,230.0,68.0,106.0,51.5
2018-01-03 18:00:00,-8.9,74.51,5.1,220.0,5.0,6.0,5.0
2018-01-03 19:00:00,-8.9,77.95,5.7,220.0,0.0,0.0,0.0
2018-01-03 20:00:00,-8.9,77.95,5.4,220.0,0.0,0.0,0.0
2018-01-03 21:00:00,-8.9,82.26,4.6,230.0,0.0,0.0,0.0
2018-01-03 22:00:00,-8.9,82.26,4.1,250.0,0.0,0.0,0.0
2018-01-03 23:00:00,-8.9,82.26,3.6,260.0,0.0,0.0,0.0
