Year,State,Metric Name,Metric Value,Unit,Rank
2024,Alabama,CO2 Equivalent Emissions From Lost NG,256.2739314907094,thousand metric tons,13.0
2024,Alaska,CO2 Equivalent Emissions From Lost NG,9.02452010982949,thousand metric tons,2.0
2024,Arizona,CO2 Equivalent Emissions From Lost NG,346.6491635485548,thousand metric tons,18.0
2024,Arkansas,CO2 Equivalent Emissions From Lost NG,786.8425993977133,thousand metric tons,34.0
2024,California,CO2 Equivalent Emissions From Lost NG,3527.787858300609,thousand metric tons,46.0
2024,Colorado,CO2 Equivalent Emissions From Lost NG,401.9572749178037,thousand metric tons,20.0
2024,Connecticut,CO2 Equivalent Emissions From Lost NG,544.9199991540751,thousand metric tons,25.0
2024,Delaware,CO2 Equivalent Emissions From Lost NG,229.60458168690923,thousand metric tons,12.0
2024,District of Columbia,CO2 Equivalent Emissions From Lost NG,532.1583892667652,thousand metric tons,24.0
2024,Florida,CO2 Equivalent Emissions From Lost NG,791.8064383992955,thousand metric tons,35.0
2024,Georgia,CO2 Equivalent Emissions From Lost NG,367.43331212310096,thousand metric tons,19.0
2024,Hawaii,CO2 Equivalent Emissions From Lost NG,,thousand metric tons,
2024,Idaho,CO2 Equivalent Emissions From Lost NG,97.36123823895088,thousand metric tons,7.0
2024,Illinois,CO2 Equivalent Emissions From Lost NG,1832.753309848362,thousand metric tons,42.0
2024,Indiana,CO2 Equivalent Emissions From Lost NG,830.3829089276453,thousand metric tons,36.0
2024,Iowa,CO2 Equivalent Emissions From Lost NG,624.2804943869143,thousand metric tons,30.0
2024,Kansas,CO2 Equivalent Emissions From Lost NG,325.68334314766525,thousand metric tons,16.0
2024,Kentucky,CO2 Equivalent Emissions From Lost NG,784.6591938283474,thousand metric tons,33.0
2024,Louisiana,CO2 Equivalent Emissions From Lost NG,4890.501540395681,thousand metric tons,48.0
2024,Maine,CO2 Equivalent Emissions From Lost NG,163.5436529968915,thousand metric tons,10.0
2024,Maryland,CO2 Equivalent Emissions From Lost NG,1580.7102142643973,thousand metric tons,41.0
2024,Massachusetts,CO2 Equivalent Emissions From Lost NG,2208.495971803765,thousand metric tons,45.0
2024,Michigan,CO2 Equivalent Emissions From Lost NG,575.365819540248,thousand metric tons,27.0
2024,Minnesota,CO2 Equivalent Emissions From Lost NG,681.5988843908134,thousand metric tons,31.0
2024,Mississippi,CO2 Equivalent Emissions From Lost NG,484.1788227777804,thousand metric tons,22.0
2024,Missouri,CO2 Equivalent Emissions From Lost NG,318.9964081735258,thousand metric tons,15.0
2024,Montana,CO2 Equivalent Emissions From Lost NG,179.2952319198074,thousand metric tons,11.0
2024,Nebraska,CO2 Equivalent Emissions From Lost NG,682.1803085385176,thousand metric tons,32.0
2024,Nevada,CO2 Equivalent Emissions From Lost NG,74.97027852138825,thousand metric tons,6.0
2024,New Hampshire,CO2 Equivalent Emissions From Lost NG,39.153436471726586,thousand metric tons,3.0
2024,New Jersey,CO2 Equivalent Emissions From Lost NG,1116.225509103103,thousand metric tons,39.0
2024,New Mexico,CO2 Equivalent Emissions From Lost NG,107.14551066958235,thousand metric tons,8.0
2024,New York,CO2 Equivalent Emissions From Lost NG,9844.019055925735,thousand metric tons,50.0
2024,North Carolina,CO2 Equivalent Emissions From Lost NG,599.8454479852185,thousand metric tons,29.0
2024,North Dakota,CO2 Equivalent Emissions From Lost NG,129.61188834368426,thousand metric tons,9.0
2024,Ohio,CO2 Equivalent Emissions From Lost NG,4130.562346528958,thousand metric tons,47.0
2024,Oklahoma,CO2 Equivalent Emissions From Lost NG,466.91479803677896,thousand metric tons,21.0
2024,Oregon,CO2 Equivalent Emissions From Lost NG,325.8449530545351,thousand metric tons,17.0
2024,Pennsylvania,CO2 Equivalent Emissions From Lost NG,1963.6877988091883,thousand metric tons,44.0
2024,Rhode Island,CO2 Equivalent Emissions From Lost NG,596.2268721394425,thousand metric tons,28.0
2024,South Carolina,CO2 Equivalent Emissions From Lost NG,74.57015468300013,thousand metric tons,5.0
2024,South Dakota,CO2 Equivalent Emissions From Lost NG,70.8639008187846,thousand metric tons,4.0
2024,Tennessee,CO2 Equivalent Emissions From Lost NG,498.22513854544883,thousand metric tons,23.0
2024,Texas,CO2 Equivalent Emissions From Lost NG,6238.792559974442,thousand metric tons,49.0
2024,Utah,CO2 Equivalent Emissions From Lost NG,1167.96928611256,thousand metric tons,40.0
2024,Vermont,CO2 Equivalent Emissions From Lost NG,0.15789473659699205,thousand metric tons,1.0
2024,Virginia,CO2 Equivalent Emissions From Lost NG,1930.5202446811102,thousand metric tons,43.0
2024,Washington,CO2 Equivalent Emissions From Lost NG,896.2082958223631,thousand metric tons,37.0
2024,West Virginia,CO2 Equivalent Emissions From Lost NG,1052.0957259209233,thousand metric tons,38.0
2024,Wisconsin,CO2 Equivalent Emissions From Lost NG,568.4975842567925,thousand metric tons,26.0
2024,Wyoming,CO2 Equivalent Emissions From Lost NG,290.3390707567127,thousand metric tons,14.0
2024,Alabama,NG - Consumption per Customer - All Sectors,128.49048152167444,Mcf per customer,44.0
2024,Alaska,NG - Consumption per Customer - All Sectors,599.4448590931191,Mcf per customer,51.0
2024,Arizona,NG - Consumption per Customer - All Sectors,52.349333049354,Mcf per customer,3.0
2024,Arkansas,NG - Consumption per Customer - All Sectors,75.67757935419992,Mcf per customer,8.0
2024,California,NG - Consumption per Customer - All Sectors,48.90652447692441,Mcf per customer,2.0
2024,Colorado,NG - Consumption per Customer - All Sectors,92.75127340941842,Mcf per customer,22.0
2024,Connecticut,NG - Consumption per Customer - All Sectors,152.2437937107986,Mcf per customer,45.0
2024,Delaware,NG - Consumption per Customer - All Sectors,74.05482539697113,Mcf per customer,7.0
2024,District of Columbia,NG - Consumption per Customer - All Sectors,71.42426515009478,Mcf per customer,6.0
2024,Florida,NG - Consumption per Customer - All Sectors,47.11218425962238,Mcf per customer,1.0
2024,Georgia,NG - Consumption per Customer - All Sectors,160.58721067827898,Mcf per customer,46.0
2024,Hawaii,NG - Consumption per Customer - All Sectors,94.76790858155803,Mcf per customer,26.0
2024,Idaho,NG - Consumption per Customer - All Sectors,99.43665309513281,Mcf per customer,35.0
2024,Illinois,NG - Consumption per Customer - All Sectors,96.24834382986525,Mcf per customer,32.0
2024,Indiana,NG - Consumption per Customer - All Sectors,98.96767459053888,Mcf per customer,34.0
2024,Iowa,NG - Consumption per Customer - All Sectors,85.07392528168876,Mcf per customer,14.0
2024,Kansas,NG - Consumption per Customer - All Sectors,84.40834265835213,Mcf per customer,12.0
2024,Kentucky,NG - Consumption per Customer - All Sectors,101.20384615824959,Mcf per customer,38.0
2024,Louisiana,NG - Consumption per Customer - All Sectors,77.09745960255236,Mcf per customer,9.0
2024,Maine,NG - Consumption per Customer - All Sectors,197.56943480195815,Mcf per customer,48.0
2024,Maryland,NG - Consumption per Customer - All Sectors,69.65746566364115,Mcf per customer,5.0
2024,Massachusetts,NG - Consumption per Customer - All Sectors,95.15269154912899,Mcf per customer,28.0
2024,Michigan,NG - Consumption per Customer - All Sectors,102.35407313812925,Mcf per customer,40.0
2024,Minnesota,NG - Consumption per Customer - All Sectors,123.63330832161427,Mcf per customer,43.0
2024,Mississippi,NG - Consumption per Customer - All Sectors,93.65073915844438,Mcf per customer,24.0
2024,Missouri,NG - Consumption per Customer - All Sectors,85.0275547109085,Mcf per customer,13.0
2024,Montana,NG - Consumption per Customer - All Sectors,101.33070880226578,Mcf per customer,39.0
2024,Nebraska,NG - Consumption per Customer - All Sectors,93.20032732006695,Mcf per customer,23.0
2024,Nevada,NG - Consumption per Customer - All Sectors,66.8608508408328,Mcf per customer,4.0
2024,New Hampshire,NG - Consumption per Customer - All Sectors,95.43954140547675,Mcf per customer,30.0
2024,New Jersey,NG - Consumption per Customer - All Sectors,95.19498425379584,Mcf per customer,29.0
2024,New Mexico,NG - Consumption per Customer - All Sectors,83.26425584439873,Mcf per customer,11.0
2024,New York,NG - Consumption per Customer - All Sectors,89.06709030249252,Mcf per customer,17.0
2024,North Carolina,NG - Consumption per Customer - All Sectors,94.85877369636772,Mcf per customer,27.0
2024,North Dakota,NG - Consumption per Customer - All Sectors,228.33381471625452,Mcf per customer,50.0
2024,Ohio,NG - Consumption per Customer - All Sectors,91.41543200513766,Mcf per customer,21.0
2024,Oklahoma,NG - Consumption per Customer - All Sectors,78.15072504606647,Mcf per customer,10.0
2024,Oregon,NG - Consumption per Customer - All Sectors,94.20226931125588,Mcf per customer,25.0
2024,Pennsylvania,NG - Consumption per Customer - All Sectors,89.52349974265852,Mcf per customer,19.0
2024,Rhode Island,NG - Consumption per Customer - All Sectors,87.32895066320698,Mcf per customer,15.0
2024,South Carolina,NG - Consumption per Customer - All Sectors,98.29358442422898,Mcf per customer,33.0
2024,South Dakota,NG - Consumption per Customer - All Sectors,96.07853923427469,Mcf per customer,31.0
2024,Tennessee,NG - Consumption per Customer - All Sectors,113.61304371195047,Mcf per customer,41.0
2024,Texas,NG - Consumption per Customer - All Sectors,165.6173156185494,Mcf per customer,47.0
2024,Utah,NG - Consumption per Customer - All Sectors,89.14894762541664,Mcf per customer,18.0
2024,Vermont,NG - Consumption per Customer - All Sectors,223.5966182706821,Mcf per customer,49.0
2024,Virginia,NG - Consumption per Customer - All Sectors,88.28263663346159,Mcf per customer,16.0
2024,Washington,NG - Consumption per Customer - All Sectors,100.63631445919766,Mcf per customer,37.0
2024,West Virginia,NG - Consumption per Customer - All Sectors,90.0054698230589,Mcf per customer,20.0
2024,Wisconsin,NG - Consumption per Customer - All Sectors,100.32039062737607,Mcf per customer,36.0
2024,Wyoming,NG - Consumption per Customer - All Sectors,122.62756884149759,Mcf per customer,42.0
2024,Alabama,NG - Consumption per Customer - Commercial Sector,276.95783737881254,Mcf per customer,5.0
2024,Alaska,NG - Consumption per Customer - Commercial Sector,1133.7401329174013,Mcf per customer,51.0
2024,Arizona,NG - Consumption per Customer - Commercial Sector,494.9803149606299,Mcf per customer,43.0
2024,Arkansas,NG - Consumption per Customer - Commercial Sector,276.8252467877842,Mcf per customer,4.0
2024,California,NG - Consumption per Customer - Commercial Sector,321.92585089641506,Mcf per customer,15.0
2024,Colorado,NG - Consumption per Customer - Commercial Sector,351.9966949383711,Mcf per customer,23.0
2024,Connecticut,NG - Consumption per Customer - Commercial Sector,687.0461250369592,Mcf per customer,48.0
2024,Delaware,NG - Consumption per Customer - Commercial Sector,349.2680714485068,Mcf per customer,22.0
2024,District of Columbia,NG - Consumption per Customer - Commercial Sector,399.47505270555166,Mcf per customer,35.0
2024,Florida,NG - Consumption per Customer - Commercial Sector,507.5102681864693,Mcf per customer,45.0
2024,Georgia,NG - Consumption per Customer - Commercial Sector,348.5441642162407,Mcf per customer,21.0
2024,Hawaii,NG - Consumption per Customer - Commercial Sector,775.9216745442269,Mcf per customer,49.0
2024,Idaho,NG - Consumption per Customer - Commercial Sector,368.0890214080398,Mcf per customer,29.0
2024,Illinois,NG - Consumption per Customer - Commercial Sector,287.1590356256018,Mcf per customer,7.0
2024,Indiana,NG - Consumption per Customer - Commercial Sector,380.43275415504667,Mcf per customer,33.0
2024,Iowa,NG - Consumption per Customer - Commercial Sector,290.6068410781682,Mcf per customer,8.0
2024,Kansas,NG - Consumption per Customer - Commercial Sector,241.84520942473372,Mcf per customer,2.0
2024,Kentucky,NG - Consumption per Customer - Commercial Sector,318.3411889132859,Mcf per customer,13.0
2024,Louisiana,NG - Consumption per Customer - Commercial Sector,376.16800274066463,Mcf per customer,32.0
2024,Maine,NG - Consumption per Customer - Commercial Sector,444.136193887661,Mcf per customer,39.0
2024,Maryland,NG - Consumption per Customer - Commercial Sector,316.8363093108137,Mcf per customer,12.0
2024,Massachusetts,NG - Consumption per Customer - Commercial Sector,343.7325420662821,Mcf per customer,20.0
2024,Michigan,NG - Consumption per Customer - Commercial Sector,376.03614038317613,Mcf per customer,31.0
2024,Minnesota,NG - Consumption per Customer - Commercial Sector,568.5460128586508,Mcf per customer,47.0
2024,Mississippi,NG - Consumption per Customer - Commercial Sector,320.29816682141086,Mcf per customer,14.0
2024,Missouri,NG - Consumption per Customer - Commercial Sector,364.8510629097262,Mcf per customer,28.0
2024,Montana,NG - Consumption per Customer - Commercial Sector,313.3878723086868,Mcf per customer,11.0
2024,Nebraska,NG - Consumption per Customer - Commercial Sector,363.6798849438992,Mcf per customer,27.0
2024,Nevada,NG - Consumption per Customer - Commercial Sector,413.73281810082256,Mcf per customer,38.0
2024,New Hampshire,NG - Consumption per Customer - Commercial Sector,306.70754319426885,Mcf per customer,9.0
2024,New Jersey,NG - Consumption per Customer - Commercial Sector,323.70179765949035,Mcf per customer,17.0
2024,New Mexico,NG - Consumption per Customer - Commercial Sector,353.05200205867214,Mcf per customer,24.0
2024,New York,NG - Consumption per Customer - Commercial Sector,281.4395960682526,Mcf per customer,6.0
2024,North Carolina,NG - Consumption per Customer - Commercial Sector,456.5395478549813,Mcf per customer,40.0
2024,North Dakota,NG - Consumption per Customer - Commercial Sector,553.9363911560715,Mcf per customer,46.0
2024,Ohio,NG - Consumption per Customer - Commercial Sector,484.0545636242505,Mcf per customer,42.0
2024,Oklahoma,NG - Consumption per Customer - Commercial Sector,197.01478314889494,Mcf per customer,1.0
2024,Oregon,NG - Consumption per Customer - Commercial Sector,343.4924601159619,Mcf per customer,19.0
2024,Pennsylvania,NG - Consumption per Customer - Commercial Sector,308.24964677752416,Mcf per customer,10.0
2024,Rhode Island,NG - Consumption per Customer - Commercial Sector,272.1615109379954,Mcf per customer,3.0
2024,South Carolina,NG - Consumption per Customer - Commercial Sector,369.28126931794765,Mcf per customer,30.0
2024,South Dakota,NG - Consumption per Customer - Commercial Sector,328.1622679814385,Mcf per customer,18.0
2024,Tennessee,NG - Consumption per Customer - Commercial Sector,354.56731239847636,Mcf per customer,25.0
2024,Texas,NG - Consumption per Customer - Commercial Sector,400.7978915511315,Mcf per customer,36.0
2024,Utah,NG - Consumption per Customer - Commercial Sector,400.9972101133391,Mcf per customer,37.0
2024,Vermont,NG - Consumption per Customer - Commercial Sector,1089.7934713375796,Mcf per customer,50.0
2024,Virginia,NG - Consumption per Customer - Commercial Sector,385.55290138463164,Mcf per customer,34.0
2024,Washington,NG - Consumption per Customer - Commercial Sector,474.15799420204763,Mcf per customer,41.0
2024,West Virginia,NG - Consumption per Customer - Commercial Sector,323.173587944323,Mcf per customer,16.0
2024,Wisconsin,NG - Consumption per Customer - Commercial Sector,358.7450950664286,Mcf per customer,26.0
2024,Wyoming,NG - Consumption per Customer - Commercial Sector,499.76999929641875,Mcf per customer,44.0
2024,Alabama,NG - Consumption per Customer - Industrial Sector,18150.697500718183,Mcf per customer,34.0
2024,Alaska,NG - Consumption per Customer - Industrial Sector,8129484.142857143,Mcf per customer,50.0
2024,Arizona,NG - Consumption per Customer - Industrial Sector,22921.489270386268,Mcf per customer,40.0
2024,Arkansas,NG - Consumption per Customer - Industrial Sector,4037.5725190839694,Mcf per customer,17.0
